timestamps,TP9,AF7,AF8,TP10,Right AUX
1587019718.869,52.246,39.062,39.551,34.180,-22.461
1587019718.873,83.496,40.527,35.645,69.336,-33.203
1587019718.877,24.902,41.992,34.180,30.762,42.480
1587019718.881,-22.949,37.598,38.574,-7.812,50.293
1587019718.885,32.227,34.668,40.527,35.645,-41.504
1587019718.889,85.449,38.086,33.691,79.102,26.367
1587019718.893,39.551,36.621,35.156,35.156,111.816
1587019718.897,-19.043,32.715,38.086,-24.902,42.480
1587019718.901,4.395,31.738,31.738,-3.906,19.531
1587019718.905,68.359,32.227,30.273,52.734,52.246
1587019718.908,58.105,33.203,31.738,50.293,71.777
1587019718.912,1.953,36.133,34.668,2.441,41.504
1587019718.916,9.277,38.574,33.203,-0.977,10.254
1587019718.920,65.918,37.109,29.297,53.223,42.969
1587019718.924,74.707,36.133,28.809,75.684,48.828
1587019718.928,16.113,37.109,35.156,35.645,15.625
1587019718.932,-8.789,37.109,39.551,11.719,25.391
1587019718.936,50.293,36.621,36.621,54.688,36.621
1587019718.940,94.727,34.668,34.668,91.797,31.250
1587019718.944,51.270,38.574,39.551,57.617,67.871
1587019718.947,1.465,41.016,42.480,18.066,40.527
1587019718.951,31.738,33.691,40.527,44.922,-3.418
1587019718.955,91.797,32.715,41.016,88.867,85.938
1587019718.959,65.430,36.621,46.875,68.848,63.477
1587019718.963,1.465,36.133,46.875,16.602,11.719
1587019718.967,13.184,33.691,41.992,20.996,37.109
1587019718.971,75.684,33.203,38.086,74.219,23.438
1587019718.975,75.195,36.133,38.574,76.660,55.664
1587019718.979,5.859,38.574,41.992,27.344,78.125
1587019718.983,-10.254,37.109,35.645,8.301,22.949
1587019718.987,48.828,30.762,33.691,54.199,19.531
1587019718.990,85.449,35.645,38.574,102.051,32.227
1587019718.994,39.551,53.223,31.738,48.340,-5.859
1587019718.998,-12.695,56.641,29.785,-23.926,18.555
1587019719.002,19.531,43.457,31.250,1.953,82.520
1587019719.006,47.852,40.039,27.832,36.133,82.031
1587019719.010,-24.902,45.898,23.438,-20.996,69.336
1587019719.014,-91.797,45.410,22.461,-85.938,81.543
1587019719.018,-68.848,43.457,19.531,-80.566,30.273
1587019719.022,-34.668,39.551,15.625,-50.781,-13.184
1587019719.026,-69.824,42.480,15.137,-76.660,-13.672
1587019719.030,-137.207,47.852,12.695,-142.578,-17.578
1587019719.033,-127.441,48.828,4.395,-149.902,8.789
1587019719.037,-63.965,50.293,-3.418,-104.004,42.480
1587019719.041,-71.777,55.176,-4.883,-105.957,109.863
1587019719.045,-133.789,56.641,-1.953,-160.645,95.215
1587019719.049,-145.020,58.594,-0.977,-174.805,-20.020
1587019719.053,-83.496,64.941,-2.930,-126.953,21.484
